class,cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season
0,612,6,5,10,0.6760024292094166,3330,11,0.0273721330556057
0,799,3,0,10,0.0959214324201657,2392,6,0.8884502877862838
0,946,2,0,10,1.0341114371819031,1417,11,0.8884502877862838
0,984,6,1,10,0.1229229613407983,2215,11,0.9431945538974952
1,48,6,0,10,1.50448353044528,73,6,0.9431945538974952
1,306,6,6,10,0.5773790986942867,518,11,0.8884502877862838
0,877,5,0,10,0.6887907900635047,2230,6,0.9431945538974952
0,729,6,4,3,2.315345887927911,2481,11,0.9431945538974952
0,446,0,0,3,0.1706708290704632,385,3,1.804272708628173
1,1704,6,1,10,0.588464671705031,3075,11,0.8884502877862838
1,675,3,3,2,0.9832359743964384,2426,6,0.0273721330556057
1,90,6,1,5,1.783012758868325,187,6,0.8884502877862838
0,287,6,0,1,0.8200974263200832,617,7,0.9431945538974952
0,884,2,1,10,1.288766731740116,1368,6,0.9431945538974952
1,1155,2,2,10,1.8856150783609271,1442,11,0.8884502877862838
0,782,6,2,7,0.2979984763495695,1041,11,0.9431945538974952
0,892,5,1,6,0.2422926306649605,1807,11,0.9431945538974952
1,699,2,6,10,0.3227238041360739,1627,11,0.8884502877862838
0,910,6,5,10,0.1746498180479352,3237,11,0.0273721330556057
1,541,6,6,11,0.3068078482261857,1287,12,0.9431945538974952
1,932,6,4,6,0.8709728891055483,2425,10,0.8884502877862838
1,663,2,6,10,1.2489768419653953,1072,11,0.8884502877862838
1,891,6,0,10,2.156186328829028,1675,11,0.9431945538974952
1,552,0,2,4,1.022174470249487,802,12,0.8884502877862838
1,698,6,5,7,0.7842865255228345,933,8,0.9431945538974952
1,731,6,6,10,1.7940983318790693,1105,11,0.8884502877862838
0,365,6,0,6,0.6131899994915354,869,11,0.9431945538974952
0,302,5,1,7,0.6251269664239516,556,3,0.8884502877862838
0,558,5,1,10,0.3386397600459622,722,11,0.9431945538974952
1,258,5,1,10,1.5363154422650565,583,11,0.8884502877862838
1,193,4,0,5,0.7834351316011626,206,12,0.9431945538974952
1,328,0,6,7,0.4619884183475966,340,3,0.9431945538974952
1,238,2,1,11,0.7763285475678904,529,6,0.9431945538974952
1,747,6,4,10,1.3763044892445015,3298,6,0.9431945538974952
1,199,0,0,8,0.6887907900635047,450,12,0.9431945538974952
0,1121,6,6,10,0.5168428701105336,2290,11,0.8884502877862838
1,229,3,3,2,2.0137941195617053,0,2,0.0273721330556057
1,555,3,0,10,2.0137941195617053,0,2,0.8884502877862838
1,521,6,5,5,0.3983245947080434,648,6,1.804272708628173
0,536,2,5,10,0.0194692479265244,994,6,0.9431945538974952
0,65,1,0,10,0.0513011597463009,60,6,0.9431945538974952
1,332,6,0,8,1.1662694673601537,1098,12,0.9431945538974952
1,1885,6,4,11,0.0362365977580846,2888,6,0.9431945538974952
0,385,2,5,3,0.8121394483651391,629,11,0.8884502877862838
1,63,6,0,10,1.1782064342925698,108,1,0.8884502877862838
0,1003,6,2,7,1.081859304911568,1630,11,0.9431945538974952
1,869,6,0,11,2.67743388487787,1224,12,0.9431945538974952
0,589,6,2,10,2.6257070281707326,1325,11,0.8884502877862838
1,315,3,3,2,0.8559083271173319,1751,3,0.9431945538974952
0,753,6,5,3,0.4889899472682291,1863,10,0.9431945538974952
1,88,6,0,5,0.649000900288784,166,6,0.9431945538974952
1,1564,6,4,1,1.865720133473567,3102,12,0.8884502877862838
0,474,5,1,0,0.004404685938308,1198,11,1.804272708628173
0,254,6,0,9,0.0513011597463009,430,11,0.8884502877862838
1,258,0,0,5,1.2728507758302277,201,6,0.8884502877862838
1,280,0,0,9,0.0640895206003891,399,11,0.9431945538974952
1,1267,2,2,10,1.8060352988114856,1504,11,0.9431945538974952
1,312,2,6,7,0.9903425584297104,360,6,0.9431945538974952
0,582,6,2,10,0.0353852038364127,1289,11,0.9431945538974952
0,92,1,0,3,0.5813580876717588,107,3,0.8884502877862838
1,104,6,0,4,0.2312070576542162,226,6,0.9431945538974952
1,74,6,0,10,1.0548577759909357,132,6,0.9431945538974952
1,281,3,3,2,0.9434460846217176,1537,3,0.8884502877862838
0,589,2,5,10,0.4221985285728758,973,3,0.8884502877862838
1,242,3,3,2,1.2140173350898185,1256,3,0.8884502877862838
1,793,2,5,11,0.1038794103751098,1441,1,0.9431945538974952
0,611,1,2,10,2.414820612364713,1117,11,0.8884502877862838
0,512,1,2,10,3.0912487385349654,1338,11,0.9431945538974952
0,880,2,0,10,1.937341935068064,1669,11,0.9431945538974952
1,143,1,0,11,0.5486747819303103,280,12,0.8884502877862838
0,233,5,3,2,0.0234482369039964,639,12,0.9431945538974952
0,427,2,5,10,0.5097362860772614,734,11,0.9431945538974952
1,248,2,0,8,0.5296312309646218,511,12,0.9431945538974952
1,219,2,1,5,1.5323364532875845,430,6,0.9431945538974952
0,584,6,6,11,0.214439707822656,1280,11,0.8884502877862838
1,392,2,2,10,0.2232490796992721,319,11,0.9431945538974952
0,591,6,1,10,1.0508787870134637,774,11,0.8884502877862838
1,1072,2,2,10,1.917446990180704,1380,11,0.8884502877862838
0,594,5,1,10,0.4580094293701244,790,11,0.8884502877862838
1,32,6,1,6,0.4381144844827641,51,12,0.8884502877862838
0,565,5,1,10,0.8200974263200832,747,11,0.8884502877862838
0,1017,6,4,11,1.3763044892445015,1571,12,0.9431945538974952
0,519,6,6,10,0.5455471868745101,1092,11,0.9431945538974952
1,358,2,6,7,0.6163175945473355,390,6,0.9431945538974952
1,494,5,1,11,1.0986266547431285,545,7,0.8884502877862838
1,459,0,2,11,0.0115112699715802,682,4,0.9431945538974952
0,417,2,5,3,0.8877402389371084,600,11,0.9431945538974952
0,393,6,6,3,0.1467968952056307,349,11,0.9431945538974952
0,684,5,1,0,0.0194692479265244,1225,11,0.9431945538974952
0,304,2,1,10,1.0628157539458798,569,11,0.9431945538974952
0,279,6,0,1,0.649000900288784,580,1,0.8884502877862838
1,488,6,2,11,0.2025027408902398,670,4,0.8884502877862838
0,724,5,1,6,0.5654421317618704,1493,11,0.8884502877862838
0,533,1,2,10,2.1840392516713325,1110,11,0.9431945538974952
0,709,6,4,11,0.0203206418481963,2087,6,0.9431945538974952
1,550,2,4,5,0.8360133822299715,586,6,0.8884502877862838
1,863,2,6,10,0.0433431817913568,1893,11,0.8884502877862838
1,469,1,0,8,0.1666918400929911,743,11,0.9431945538974952
0,270,5,1,7,0.9266787347901572,329,6,0.9431945538974952
0,289,0,0,4,0.2184186968001281,246,11,0.8884502877862838
0,1296,2,5,0,0.214439707822656,2003,0,0.9431945538974952
1,958,5,1,6,0.7246016908607534,1192,11,0.9431945538974952
1,122,6,0,4,0.3585347049333226,227,6,0.9431945538974952
0,367,6,4,5,0.163564245037191,1046,1,0.8884502877862838
0,505,2,5,3,0.270996947428937,769,11,0.9431945538974952
1,33,2,1,6,0.649000900288784,50,7,0.8884502877862838
1,54,6,0,10,1.3294080154365089,84,1,0.9431945538974952
1,423,2,6,1,0.0234482369039964,437,6,0.9431945538974952
1,1198,2,1,10,0.1348599282732145,2641,11,0.9431945538974952
0,862,6,0,10,0.7317082748940257,1356,11,0.9431945538974952
0,299,6,4,1,0.6728748341536165,958,6,0.9431945538974952
0,56,6,0,7,0.5574841538069263,43,6,0.9431945538974952
0,692,6,4,11,0.1388389172506866,1437,12,0.9431945538974952
0,248,6,1,10,1.2458492469095952,485,11,1.804272708628173
1,51,6,0,10,1.4607146516930871,97,6,0.9431945538974952
1,962,6,5,11,0.0521525536679729,1540,6,0.8884502877862838
0,528,1,3,2,0.3903666167530992,2045,6,0.0273721330556057
0,712,6,2,10,0.2073331237893838,875,6,0.0273721330556057
0,917,2,0,0,0.537589208919566,1940,11,0.9431945538974952
1,1071,6,0,10,1.658812706645019,2856,11,0.8884502877862838
1,144,0,0,5,0.0234482369039964,246,6,0.8884502877862838
1,249,3,3,2,1.0429208090585194,1448,6,0.8884502877862838
1,737,6,6,10,1.6031068609604098,1071,11,0.9431945538974952
1,366,3,3,2,0.3983245947080434,3350,11,0.9431945538974952
0,512,6,2,10,0.0362365977580846,1211,12,0.8884502877862838
1,745,6,2,10,0.958510646609934,1749,11,0.8884502877862838
1,812,6,0,10,2.0845645272345306,1638,11,0.8884502877862838
1,95,6,0,5,1.1185215996304887,69,6,0.0273721330556057
0,672,0,5,10,0.5734001097168147,943,3,0.8884502877862838
1,472,6,1,11,0.274975936406409,951,6,1.804272708628173
0,670,2,2,4,0.7564336026805301,1170,11,0.8884502877862838
0,304,0,0,3,0.6848118010860327,232,3,0.8884502877862838
1,981,6,0,10,2.2397450973559416,1748,11,0.9431945538974952
0,996,2,6,5,0.0393641928138847,2069,6,0.9431945538974952
0,588,2,6,10,0.3099354432819858,959,6,1.804272708628173
0,838,6,4,3,2.6058120832833724,2648,11,0.9431945538974952
0,575,5,5,7,0.4054311787413155,1966,10,0.9431945538974952
0,1113,6,4,11,1.3205986435598926,2246,6,0.9431945538974952
1,352,6,0,11,0.1755012119696072,567,7,0.8884502877862838
1,326,0,0,3,0.266166564529793,424,11,0.9431945538974952
1,213,2,6,10,0.863866305072276,197,6,0.8884502877862838
1,1067,6,1,5,0.2869129033388253,1542,6,0.8884502877862838
0,603,6,4,11,0.2422926306649605,1492,12,0.8884502877862838
1,387,6,6,10,0.4977993191448452,605,11,0.8884502877862838
1,935,2,6,10,1.5871909050505215,1224,11,0.9431945538974952
1,343,6,0,1,0.7206227018832814,460,1,0.9431945538974952
1,285,0,0,9,0.2422926306649605,410,11,0.8884502877862838
0,735,2,5,7,0.2550809915190487,1756,10,0.9431945538974952
1,484,3,3,2,0.1914171678794955,3107,11,0.9431945538974952
0,471,6,1,10,1.1583114894052096,733,11,0.9431945538974952
1,721,5,1,6,0.7962234924552508,1127,11,0.8884502877862838
0,744,2,3,2,0.10700700543091,1686,12,0.9431945538974952
1,725,5,1,10,0.6688958451761444,1242,3,0.8884502877862838
0,370,6,5,3,0.7922445034777786,620,11,0.8884502877862838
0,1449,2,0,11,0.751603219781386,2366,11,0.9431945538974952
1,364,0,0,4,1.5275060703884404,533,11,0.9431945538974952
1,877,6,0,5,0.7237502969390814,974,6,0.9431945538974952
1,270,6,1,10,1.190143401224986,746,11,0.8884502877862838
1,384,3,3,2,2.0137941195617053,0,2,1.804272708628173
0,770,5,1,6,0.6131899994915354,1700,11,0.8884502877862838
0,724,2,5,5,1.4877161806137198,1250,7,0.9431945538974952
1,19,6,0,11,1.1384165445178491,7,12,0.9431945538974952
0,215,0,0,3,1.0866896878107122,267,6,0.8884502877862838
1,309,1,0,5,0.8439713601849157,319,11,0.9431945538974952
1,333,2,6,11,0.6211479774464795,229,6,0.9431945538974952
0,305,5,3,2,0.1874381789020234,626,7,0.9431945538974952
0,782,6,4,11,0.1666918400929911,1229,6,0.8884502877862838
1,520,6,0,3,0.6569588782437281,1324,12,0.9431945538974952
0,729,2,5,11,1.0181954812720149,1254,7,0.9431945538974952
1,73,2,3,2,1.289618125661788,425,12,0.8884502877862838
1,287,6,6,7,0.7277292859165536,334,6,0.8884502877862838
1,181,0,0,5,0.0322576087806125,256,6,0.9431945538974952
1,734,6,6,9,1.5951488830054656,1770,3,0.9431945538974952
1,656,6,5,7,0.6569588782437281,851,8,0.9431945538974952
0,462,5,3,2,0.0680685095778612,1464,12,0.9431945538974952
0,344,6,0,1,0.7643915806354742,619,7,0.8884502877862838
1,452,6,2,3,0.2422926306649605,722,4,0.8884502877862838
1,213,5,0,9,0.4659674073250686,508,10,0.9431945538974952
0,510,6,2,7,0.7643915806354742,889,6,0.8884502877862838
1,797,6,4,10,1.4916951695911915,2948,6,0.9431945538974952
0,292,0,0,3,1.1185215996304887,202,3,0.0273721330556057
1,15,6,0,7,1.0031309192837985,35,4,1.804272708628173
1,256,0,0,8,0.3943456057305713,562,12,0.8884502877862838
1,597,6,6,5,0.7913931095561068,1833,10,0.9431945538974952
1,500,2,0,5,0.382408638798155,592,12,0.8884502877862838
1,40,2,1,6,0.0322576087806125,60,12,0.8884502877862838
0,1164,2,1,10,0.7197713079616094,1460,6,0.8884502877862838
1,292,6,1,10,1.0667947429233515,824,11,0.9431945538974952
1,335,5,0,3,0.1556062670822468,520,10,0.9431945538974952
1,722,0,2,10,2.685391862832814,1179,11,0.8884502877862838
1,92,0,0,5,0.7683705696129463,94,6,0.0273721330556057
1,273,3,3,2,2.0137941195617053,0,2,1.804272708628173
1,312,5,4,5,1.1981013791799302,438,6,0.8884502877862838
1,121,6,0,5,0.4580094293701244,125,6,0.0273721330556057
0,277,2,1,10,1.08271069883324,592,11,1.804272708628173
1,1189,3,3,2,0.9593620405316058,2626,6,0.8884502877862838
